#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
4d,5.3636,0.6848,0.8663,0.8879,0.7867,0.8279,0.4781,0.6928,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.001,1.3475,1.4714,2.0539,1.6216,1.5297,1.5803,1.546,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0016,1.3588,1.4659,2.0604,1.6272,1.5301,1.5828,1.5493,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0025,1.3717,1.4605,2.0665,1.6323,1.5309,1.5846,1.5526,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0039,1.384,1.4555,2.0723,1.6361,1.5319,1.587,1.5549,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0061,1.3887,1.4508,2.0777,1.6401,1.5331,1.5897,1.558,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0096,1.3957,1.4448,2.0855,1.6461,1.5338,1.5914,1.5673,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0151,1.4033,1.4387,2.0959,1.6531,1.5339,1.5943,1.5779,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0237,1.4104,1.434,2.1081,1.665,1.5331,1.5988,1.5933,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0372,1.4154,1.4271,2.1217,1.6846,1.5304,1.6052,1.6143,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0584,1.4234,1.4136,2.13,1.7125,1.5266,1.6097,1.6472,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.0918,1.4224,1.3987,2.1308,1.7565,1.5197,1.6112,1.7019,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.1443,1.4151,1.3732,2.1108,1.831,1.5085,1.6168,1.7768,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.2267,1.3712,1.3494,2.053,1.9555,1.5013,1.6088,1.8803,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.3562,1.313,1.3184,1.9539,2.0565,1.5248,1.599,1.9755,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.5598,1.2621,1.2693,1.7996,2.0527,1.6673,1.6752,2.0219,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,0.8796,1.1739,1.2106,1.6434,1.9335,1.8084,1.8206,2.1739,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,1.3823,1.1022,1.1647,1.4641,1.7111,1.9036,2.054,2.1739,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,2.1721,1.0347,1.1143,1.2943,1.5191,2.0377,2.054,2.1739,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,3.4133,0.9738,1.0717,1.1488,1.3452,2.0377,2.054,2.1739,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4e,5.3636,0.9167,1.0318,1.0231,1.1934,2.0377,2.054,2.1739,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.001,1.1197,1.1818,1.6735,1.5877,1.6523,1.7408,1.9633,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0016,1.1256,1.1738,1.6717,1.5846,1.6507,1.7387,1.9603,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0025,1.1341,1.1658,1.6701,1.5818,1.6493,1.7365,1.9575,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0039,1.1413,1.1587,1.6687,1.58,1.6467,1.7308,1.9574,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0061,1.1379,1.152,1.668,1.5782,1.6439,1.7232,1.9587,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0096,1.1353,1.1425,1.6668,1.5751,1.6401,1.7177,1.9489,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0151,1.1321,1.1318,1.6648,1.5713,1.6325,1.7132,1.941,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0237,1.1225,1.1231,1.6617,1.5635,1.6236,1.6899,1.9231,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0372,1.1123,1.1112,1.6555,1.5503,1.6106,1.6724,1.9256,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0584,1.0991,1.0924,1.6452,1.5316,1.5908,1.6419,1.9201,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.0918,1.0811,1.0745,1.6311,1.5059,1.5636,1.6043,1.9453,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.1443,1.0601,1.0436,1.6108,1.4738,1.5148,1.5945,1.9377,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.2267,1.0016,1.0167,1.5789,1.441,1.4652,1.5733,1.8304,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.3562,0.9328,0.9834,1.5252,1.3962,1.4465,1.5181,1.6367,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.5598,0.8752,0.9284,1.4249,1.3891,1.3757,1.3,1.4351,0.3,0.3,0.3,0.3,0.3,0.3,0.3
5,0.8796,0.7893,0.8528,1.2949,1.3785,1.2255,1.0376,1.2621,0.3,0.3,0.3,0.3,0.3,0.3,0.3
