barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Ulpiano Lloreda,1301.0,924.0,68754660,6131.0,0.02544215091,0.016448823354,71836,0.104481507726728,0.002753479535714,0.268289403914533,0.0,0.0
Navarro - La Chanca,315.0,207.0,62336113,1394.0,0.0233481535,0.015390356013,127323,0.204252740328434,0.011279301207729,1.104042755595409,0.0,0.0
Charco Azul,1313.0,717.0,28939907,2367.0,0.0200277038,0.0045378201273,28665,0.09905123332922,0.002793264128312,0.191711876945501,0.0,0.0
Nueva Floresta,1207.0,3259.0,334442410,23133.0,0.12500639714,0.09852279509,414354,0.123893883255876,0.003835728663394,0.425897181904638,0.0,0.0
El Mortiñal,1917.0,402.0,20785612,1722.0,0.04053119052,0.01587758415,45135,0.217147438781365,0.010082385701493,0.922043214285714,0.0,0.0
Santa Fé,813.0,1390.0,166402863,8999.0,0.093970351787,0.07279451426,263544,0.158377195740449,0.006760456963094,0.808917815979553,0.0,0.0
Los Libertadores,305.0,741.0,149312178,3701.0,0.08549187975,0.041053474273,329187,0.220468958331415,0.011537365688259,1.109253560470143,0.0,0.0
Santa Bárbara,1982.0,46.0,43461177,418.0,0.00444461684,0.003133338382,54530,0.125467748705537,0.009662210521739,0.749602483732057,0.0,0.0
Lleras Restrepo II,1393.0,679.0,36061233,2525.0,0.01885035052,0.0052854273545,36044,0.099951780461111,0.002776193007364,0.209323855623762,0.0,0.0
Guayaquil,904.0,1914.0,268851068,7949.0,0.20738466131,0.085602960524,669677,0.249088333768087,0.01083514426907,1.076902258447604,0.0,0.0
Bretaña,902.0,1679.0,203310609,6012.0,0.1896593772,0.065872698075,509030,0.25037082514967,0.011295972435974,1.095686927395209,0.0,0.0
Miraflores,1911.0,688.0,172824993,3851.0,0.06621146877,0.036192462312,330503,0.191235753906913,0.00962375999564,0.939819847104648,0.0,0.0
Tejares - Cristales,1983.0,371.0,195735287,2384.0,0.025553477462,0.015547925508,280689,0.143402296065724,0.006887729774124,0.652178083389262,0.0,0.0
San Fernando Viejo,1910.0,1475.0,1229135968,5051.0,0.120696215126,0.039761428751,1105048,0.08990446623752,0.008182794245831,0.787199143753712,0.0,0.0
Alameda,901.0,958.0,168308153,2857.0,0.10102348226,0.028263717758,402566,0.239184038381666,0.010545248670146,0.989279585509275,0.0,0.0
José Manuel Marroquín II,1405.0,2561.0,144530220,17860.0,0.06782298935,0.039685776148,144451,0.099945303856945,0.002648301028895,0.222204793661814,0.0,0.0
Rafael Uribe Uribe,804.0,394.0,48346130,1961.0,0.02111292976,0.010829918475,70617,0.146065911785432,0.005358611614213,0.552265093064763,0.0,0.0
Manuel Maria Buenaventura,906.0,493.0,57150030,1828.0,0.04642568673,0.01846061527,128956,0.225645258603012,0.009416974995943,1.009880485229759,0.0,0.0
Alirio Mora Beltrán,1402.0,2283.0,127041514,14613.0,0.0640858152,0.034161089597,128958,0.101508819599583,0.0028070878318,0.23377191265996,0.0,0.0
Valle Grande,2198.0,3996.0,128774301,20542.0,0.17531212179,0.098328732093,217241,0.168698950067243,0.004387190234985,0.478671658519132,0.0,0.0
Primitivo Crespo,801.0,944.0,103897322,4156.0,0.05563215039,0.02542986804,159151,0.153181370995787,0.005893236270127,0.611883254090472,0.0,0.0
Villa del Lago,1310.0,2322.0,91317939,5671.0,0.04787338017,0.0117908570551,84077,0.0920705585063,0.002061730412145,0.207914954242638,0.0,0.0
Santa Mónica Popular,805.0,917.0,95241224,5959.0,0.04727375708,0.031093311349,133838,0.140525461842942,0.005155262495093,0.521787403070985,0.0,0.0
